uniqueID,StudyNum,age,sex,group,targFile,Date,block,trial,CueType,TargLoc,TargDirection,Congruency,TrialStartTime,targetOnTime,firstFix,Response,Correct,RT,LowRT
undefined,,,,,Flèche,28-Jan-2026,0,1,4,UP,L,congruent,14:53:44,14:53:45,1062,L,1,691,0
undefined,,,,,Flèche,28-Jan-2026,0,2,1,UP,L,congruent,14:53:47,14:53:48,410,None,0,1700,0
undefined,,,,,Flèche,28-Jan-2026,0,3,4,DOWN,R,incongruent,14:53:51,14:53:52,712,L,0,682,0
undefined,,,,,Flèche,28-Jan-2026,0,4,3,DOWN,R,incongruent,14:53:54,14:53:56,1457,R,1,1096,0
undefined,,,,,Flèche,28-Jan-2026,0,5,4,UP,R,incongruent,14:53:58,14:53:59,756,R,1,638,0
undefined,,,,,Flèche,28-Jan-2026,0,6,1,DOWN,R,congruent,14:54:01,14:54:03,927,R,1,600,0
undefined,,,,,Flèche,28-Jan-2026,0,7,4,DOWN,R,congruent,14:54:05,14:54:06,888,R,1,582,0
undefined,,,,,Flèche,28-Jan-2026,0,8,3,DOWN,R,congruent,14:54:08,14:54:10,909,L,0,1133,0
undefined,,,,,Flèche,28-Jan-2026,0,9,2,UP,R,congruent,14:54:12,14:54:13,932,L,0,415,0
undefined,,,,,Flèche,28-Jan-2026,0,10,2,DOWN,R,congruent,14:54:15,14:54:17,1391,R,1,596,0
undefined,,,,,Flèche,28-Jan-2026,0,11,2,UP,R,incongruent,14:54:19,14:54:20,955,R,1,851,0
undefined,,,,,Flèche,28-Jan-2026,0,12,4,UP,R,congruent,14:54:22,14:54:24,1090,L,0,958,0
undefined,,,,,Flèche,28-Jan-2026,0,13,2,DOWN,L,congruent,14:54:26,14:54:27,556,L,1,648,0
undefined,,,,,Flèche,28-Jan-2026,0,14,1,DOWN,L,incongruent,14:54:29,14:54:30,654,L,1,279,0
undefined,,,,,Flèche,28-Jan-2026,0,15,4,DOWN,L,congruent,14:54:33,14:54:34,622,L,1,914,0
undefined,,,,,Flèche,28-Jan-2026,0,16,1,DOWN,R,incongruent,14:54:36,14:54:38,1269,R,1,977,0
undefined,,,,,Flèche,28-Jan-2026,0,17,3,UP,L,incongruent,14:54:40,14:54:41,1142,L,1,454,0
undefined,,,,,Flèche,28-Jan-2026,0,18,1,UP,L,incongruent,14:54:43,14:54:45,882,R,0,522,0
undefined,,,,,Flèche,28-Jan-2026,0,19,4,DOWN,L,incongruent,14:54:47,14:54:48,1046,L,1,277,0
undefined,,,,,Flèche,28-Jan-2026,0,20,3,DOWN,L,congruent,14:54:50,14:54:52,1047,R,0,566,0
undefined,,,,,Flèche,28-Jan-2026,0,21,2,UP,L,incongruent,14:54:54,14:54:56,1288,L,1,660,0
undefined,,,,,Flèche,28-Jan-2026,0,22,3,DOWN,L,incongruent,14:54:57,14:54:59,1394,R,0,643,0
undefined,,,,,Flèche,28-Jan-2026,0,23,1,DOWN,L,congruent,14:55:01,14:55:03,1544,L,1,609,0
undefined,,,,,Flèche,28-Jan-2026,0,24,2,UP,L,congruent,14:55:04,14:55:06,894,R,0,1063,0
undefined,,,,,Flèche,28-Jan-2026,0,25,3,UP,R,congruent,14:55:08,14:55:10,1387,L,0,857,0
undefined,,,,,Flèche,28-Jan-2026,0,26,1,UP,R,congruent,14:55:11,14:55:13,1306,None,0,1700,0
undefined,,,,,Flèche,28-Jan-2026,0,27,4,UP,L,incongruent,14:55:15,14:55:17,1444,R,0,1368,0
undefined,,,,,Flèche,28-Jan-2026,0,28,3,UP,L,congruent,14:55:18,14:55:20,1597,L,0,35,1
undefined,,,,,Flèche,28-Jan-2026,0,29,2,DOWN,R,incongruent,14:55:22,14:55:24,1394,L,0,659,0
undefined,,,,,Flèche,28-Jan-2026,0,30,2,DOWN,L,incongruent,14:55:25,14:55:27,749,R,0,955,0
undefined,,,,,Flèche,28-Jan-2026,0,31,1,UP,R,incongruent,14:55:29,14:55:30,467,L,0,1006,0
undefined,,,,,Flèche,28-Jan-2026,0,32,3,UP,R,incongruent,14:55:32,14:55:34,930,L,0,778,0
undefined,,,,,Flèche,28-Jan-2026,1,1,4,DOWN,R,congruent,14:55:36,14:55:38,1434,L,0,809,0
undefined,,,,,Flèche,28-Jan-2026,1,2,4,UP,R,incongruent,14:55:39,14:55:40,569,R,1,696,0
undefined,,,,,Flèche,28-Jan-2026,1,3,4,UP,L,incongruent,14:55:43,14:55:44,788,R,0,48,1
undefined,,,,,Flèche,28-Jan-2026,1,4,3,UP,R,incongruent,14:55:46,14:55:48,1272,R,1,712,0
undefined,,,,,Flèche,28-Jan-2026,1,5,3,UP,L,incongruent,14:55:50,14:55:51,1005,R,0,1072,0
